title,author,pub_date,genres
A Passage to India,E. M. Forster,1924,"Fiction, Romance novel, Novel"
A Room with a View,E. M. Forster,1908,"Travel, Fiction, Romance novel, Novel"
"Alas, Babylon",Pat Frank,1959,"Science Fiction, Reference, Novel, Speculative fiction"
Science and Health with Key to the Scriptures,,,
Sister Carrie,Theodore Dreiser,1900,"Fiction, Romance novel, Novel"
The Accidental Tourist,Anne Tyler,1985-08-12,Fiction
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2002,"Adventure, Absurdist fiction, Speculative fiction, Comic fantasy"
The Remains of the Day,Kazuo Ishiguro,1989-05,"Fiction, Historical novel"
Crime and Punishment,Fyodor Dostoyevsky,1866,"Crime Fiction, Novel, Fiction, Suspense"
The Long Dark Tea-Time of the Soul,Douglas Adams,1988-10-10,"Science Fiction, Speculative fiction, Science, Mystery"
Njáls saga,Traditional,,
Damage,Josephine Hart,1991,
The Railway Children,E. Nesbit,1906,"Children's literature, Fiction"
Imperial Earth,Arthur C. Clarke,1975,"Science Fiction, Speculative fiction"
The Masque of the Red Death,Edgar Allan Poe,1842-05,"Gothic fiction, Horror, Short story"
Chocolat,Joanne Harris,1999-03-04,"Novel, Magic realism, Speculative fiction, Romance novel"
The Ghost Road,Pat Barker,1995,"War novel, Fiction"
Rosemary's Baby,Ira Levin,1967-03-12,"Speculative fiction, Horror"
This Perfect Day,Ira Levin,1970,"Science Fiction, Speculative fiction, Horror, Fiction"
The Boys from Brazil,Ira Levin,1988-10-21,"Thriller, Speculative fiction, Fiction"
A Descent into the Maelstrom,Edgar Allan Poe,1841-04,Science Fiction
Sliver,Ira Levin,,"Mystery, Fiction, Suspense"
The Murders in the Rue Morgue,Edgar Allan Poe,1841-04,
The Purloined Letter,Edgar Allan Poe,1844-12,"Detective fiction, Short story"
The Tale of Genji,Murasaki Shikibu,1021,Fiction
Master and Commander,Patrick O'Brian,1970,"Historical fiction, Fiction, Historical novel"
The Devil and Daniel Webster,Stephen Vincent Benét,1937,"Fantasy, Short story"
The Luck of Barry Lyndon,William Makepeace Thackeray,1844,
The End of Eternity,Isaac Asimov,1955,"Novel, Time travel, Speculative fiction, Science Fiction"
The Newcomes,William Makepeace Thackeray,1855,Fiction
Little Dorrit,Charles Dickens,1857,Fiction
A Man Called Horse,Dorothy M. Johnson,1968,Short story
Where Angels Fear to Tread,E. M. Forster,1905,"Fiction, Romance novel, Novel"
Shame,Salman Rushdie,1983-10-12,"Speculative fiction, Fiction, Novel"
Trent's Last Case,E. C. Bentley,,"Mystery, Detective fiction"
Play,Samuel Beckett,1963,
Waverley,Walter Scott,1814,Historical novel
The Vampire Lestat,Anne Rice,1985,"Children's literature, Horror, Speculative fiction, Fantasy"
The Tale of the Body Thief,Anne Rice,1992,"Children's literature, Horror, Inspirational, Speculative fiction"
Memnoch the Devil,Anne Rice,1995-07-03,"Gothic fiction, Fantasy, Speculative fiction, Horror"
The Further Adventures of Robinson Crusoe,Daniel Defoe,1719,"Fiction, Adventure novel, Novel"
"The 120 Days of Sodom, or the School of Libertinism","Donatien Alphonse François de Sade, Marquis de Sade",1905,Erotica
War and Peace,Leo Tolstoy,1869,"War novel, Romance novel, Historical novel"
On the Beach,Nevil Shute,1957,"Science Fiction, Novel, Speculative fiction, Apocalyptic and post-apocalyptic fiction"
La Fortune des Rougon,Émile Zola,1871,
Son Excellence Eugène Rougon,Émile Zola,1876,Novel
La Curée,Émile Zola,1871-02,Novel
L'Argent,Émile Zola,1891,Novel
The Crying of Lot 49,Thomas Pynchon,1966,"Speculative fiction, Fiction, Novel"
Jack of Shadows,Roger Zelazny,1971,"Science Fiction, Speculative fiction, Fantasy, Novel"
Whose Body?,Dorothy L. Sayers,1923,Mystery
Clouds of Witness,Dorothy L. Sayers,1926-06,"Mystery, Fiction, Suspense"
Unnatural Death,Dorothy L. Sayers,1927,"Mystery, Fiction, Suspense"
The Unpleasantness at the Bellona Club,Dorothy L. Sayers,1928,"Mystery, Fiction, Suspense"
Strong Poison,Dorothy L. Sayers,1931,"Mystery, Fiction, Suspense"
Five Red Herrings,Dorothy L. Sayers,1931,"Mystery, Fiction, Suspense"
Have His Carcase,Dorothy L. Sayers,1932,"Mystery, Locked room mystery, Fiction, Suspense"
The Nine Tailors,Dorothy L. Sayers,1934,"Mystery, Fiction, Suspense"
Busman's Honeymoon,Dorothy L. Sayers,1937,"Mystery, Detective fiction"
"Thrones, Dominations",Jill Paton Walsh,1998,"Mystery, Fiction, Suspense"
Light in August,William Faulkner,1932,Fiction
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003-06-21,"Fantasy, Young adult literature, Fiction"
Consciousness Explained,Daniel Dennett,1991,"Philosophy, Science"
The Clouds,Aristophanes,,
The Knights,Aristophanes,,
Romance of the Three Kingdoms,Luo Guanzhong,,"War novel, Historical novel"
The Dragon in the Sea,Frank Herbert,1956,"Thriller, Science Fiction, Fiction"
Destination: Void,Frank Herbert,1966,"Science Fiction, Speculative fiction"
Whipping Star,Frank Herbert,1970,"Science Fiction, Speculative fiction, Fiction"
The Dosadi Experiment,Frank Herbert,1977,"Science Fiction, Speculative fiction, Fiction"
The Transparent Society,David Brin,1998-05-17,"Anthropology, Non-fiction, Sociology"
The Poisoned Chocolates Case,Anthony Berkeley Cox,,"Mystery, Detective fiction"
Oedipus at Colonus,Sophocles,,
Vurt,Jeff Noon,1993,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2001-01-17,Non-fiction
The Dice Man,George Cockcroft,1971,"Fiction, Novel"
The Search for the Dice Man,George Cockcroft,1993-06-07,Novel
Anna Karenina,Leo Tolstoy,1877,Novel
Adventures of Wim,George Cockcroft,,"Comic novel, Speculative fiction, Comedy"
High Fidelity,Nick Hornby,1995,"Fiction, Novel"
The Red House Mystery,A. A. Milne,1922-04-06,"Mystery, Fiction, Suspense"
"Hans Brinker, or The Silver Skates",Mary Mapes Dodge,,"Children's literature, Fiction"
Dreamcatcher,Stephen King,2001-03-20,"Speculative fiction, Horror, Fiction, Suspense"
Long Voyage Back,,,Science Fiction
Foucault's Pendulum,Umberto Eco,1988,Speculative fiction
Chitty Chitty Bang Bang,Ian Fleming,1964-10-22,"Speculative fiction, Fantasy, Children's literature"
Oliver Twist,Charles Dickens,1839,"Social novel, Speculative fiction, Fiction, Novel"
East of Eden,John Steinbeck,1952-09,Novel
The Old Man and the Sea,Ernest Hemingway,1952,"Sea story, Children's literature, Fiction, Novella"
The Children of Men,P. D. James,1992,"Speculative fiction, Dystopia, Utopian and dystopian fiction"
The Spy Who Came in from the Cold,John le Carré,1963-09,Spy fiction
The Heart Is a Lonely Hunter,Carson McCullers,1940,Fiction
The Great White Hope,Howard Sackler,,
The Postman,David Brin,1985,"Science Fiction, Apocalyptic and post-apocalyptic fiction, Children's literature, Speculative fiction"
The Phantom of the Opera,Gaston Leroux,,"Children's literature, Horror, Novel, Speculative fiction"
Murder on the Orient Express,Agatha Christie,,Crime Fiction
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998-07-02,"Speculative fiction, Fantasy, Fiction"
Equus,Peter Shaffer,,
American Psycho,Bret Easton Ellis,1991,"Satire, Horror, Speculative fiction, Suspense"
Kalimantaan,C. S. Godshalk,1998-04,"Speculative fiction, Novel"
Creatures of Light and Darkness,Roger Zelazny,1969,"Science Fiction, Speculative fiction"
The Handmaid's Tale,Margaret Atwood,1985,"Science Fiction, Feminist science fiction, Speculative fiction, Utopian and dystopian fiction"
My Left Foot,Christy Brown,,Autobiography
Lady Windermere's Fan,Oscar Wilde,,
The Pearl,Gregory McElwain,1947,"Fiction, Novella"
Barchester Towers,Anthony Trollope,1857,"Historical fiction, Fiction"
Our Man in Havana,Graham Greene,1958-12,"Speculative fiction, Fiction, Novel"
East Wind: West Wind,Pearl S. Buck,1930,Novel
On Numbers and Games,,,
P.S. Your Cat Is Dead,"James Kirkwood, Jr.",,
Treasure Island,Robert Louis Stevenson,,"Business, Children's literature, Adventure, Adventure novel"
Seven Brothers,Aleksis Kivi,,"Autobiography, Biography, Fiction"
Steppenwolf,Hermann Hesse,1927,"Existentialism, Speculative fiction, Fiction, Autobiography"
Goldfinger,Ian Fleming,1959-03-23,Spy fiction
Ironweed,William Kennedy,1983,"Mystery, Fiction"
"Girl, Interrupted",Susanna Kaysen,1993,Memoir
Small Gods,Terry Pratchett,1992,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Sum of Us,David Stevens,,
Jingo,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Pursuit of Love,Nancy Mitford,1945,"Autobiography, Fiction"
Moonraker,Ian Fleming,1955-04-05,Spy fiction
Sophie's Choice,William Styron,1979,Novel
Season of the Jew,Maurice Shadbolt,1987-02-01,Novel
The White Plague,Frank Herbert,1982,"Science Fiction, Speculative fiction, Fiction"
The Pilgrim's Progress,John Bunyan,1678-02,Speculative fiction
The Santaroga Barrier,Frank Herbert,1968,"Science Fiction, Speculative fiction, Fiction"
Orlando Furioso,Ludovico Ariosto,1516,
The Anatomy of Melancholy,Robert Burton,1621,Philosophy
Piers Plowman,William Langland,,
Red Storm Rising,Tom Clancy,1986-08,"Techno-thriller, Fiction, Novel"
The Joy of Work,,,
Lady Chatterley's Lover,D. H. Lawrence,,"Erotica, Romance novel"
A Staircase in Surrey,J. I. M. Stewart,,
The Sorrows of Young Werther,Johann Wolfgang von Goethe,,Epistolary novel
"The History of Tom Jones, a Foundling",Henry Fielding,1749-02-28,"Fiction, Novel"
Richard III,William Shakespeare,,
The Fall,Albert Camus,1956,Existentialism
The Golden Hour,Maiya Williams,2004,
The Man Who Fell to Earth,Walter Tevis,,"Science Fiction, Speculative fiction"
The Quiet Earth,Craig Harrison,1981,"Human extinction, Science Fiction"
The Phantom Tollbooth,Norton Juster,1961,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Hundred and One Dalmatians,Dodie Smith,1956,"Children's literature, Fiction"
A Philosophical Investigation,Philip Kerr,1992,"Thriller, Techno-thriller, Speculative fiction"
The Tortilla Curtain,T. Coraghessan Boyle,1995,"Fiction, Novel"
Love in a Cold Climate,Nancy Mitford,,Fiction
The Fountainhead,Ayn Rand,1943-12,Fiction
The Last Continent,Terry Pratchett,1998,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Laura Blundy,Julie Myerson,,"Fiction, Historical novel"
Contact,Carl Sagan,1985-09,"Science Fiction, Speculative fiction, Children's literature, Fiction"
American Gods,Neil Gaiman,2001,"Science Fiction, Children's literature, Horror, Novel"
Stardust,Neil Gaiman,1999-02-01,"Science Fiction, Speculative fiction, Fantasy, Fiction"
World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability,Amy Chua,2002-12,Non-fiction
The Sword in the Stone,T. H. White,1939-01-01,"Children's literature, Fantasy, Speculative fiction, Fiction"
Children of the Mind,Orson Scott Card,1996,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Wonders of the Invisible World,Cotton Mather,,
"Henry VI, part 1",William Shakespeare,,
"Henry VI, part 3",William Shakespeare,,
The Silver Chalice,Thomas B. Costain,1952,Historical novel
Thus Spoke Zarathustra,Friedrich Nietzsche,,"Prose poetry, Inspirational, Poetry, Philosophy"
Slaughterhouse-Five,Kurt Vonnegut,1969,"Science Fiction, War novel, Philosophy, Speculative fiction"
The Catcher in the Rye,J. D. Salinger,1951-07-16,"First-person narrative, Fiction, Bildungsroman, Novel"
Our American Cousin,Tom Taylor,,
The Name of the Rose,Umberto Eco,1980,"Historical whodunnit, Historical fiction, Speculative fiction, Mystery"
The Member of the Wedding,Carson McCullers,1946,"Children's literature, Fiction, Novel"
Rashomon,Ryunosuke Akutagawa,,
Magnificent Obsession,Lloyd C. Douglas,1929,"Fiction, Romance novel, Novel"
V.,Thomas Pynchon,1963,"Speculative fiction, Fiction, Novel"
Shogun: A Novel of Japan,James Clavell,1975,"Historical fiction, Fiction"
Goodnight Moon,Margaret Wise Brown,1947,"Children's literature, Fiction"
Eugene Onegin,Aleksandr Pushkin,,"Novel, Poetry, Fiction"
Elbow Room,Daniel Dennett,1984,Philosophy
The Adventures of Captain Underpants,Dav Pilkey,1997,"Children's literature, Humour"
The Rowan,Anne McCaffrey,1990,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Lysistrata,Aristophanes,,
Niourk,,,Science Fiction
Andromeda,Ivan Yefremov,,Science Fiction
Ecotopia,Ernest Callenbach,,"Romance novel, Science Fiction, Speculative fiction, Fiction"
The Bad Seed,William March,1954-04-08,"Horror, Novel"
The Turner Diaries,William Luther Pierce,1978,
"Life, the Universe and Everything",Douglas Adams,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Beelzebub's Tales to his Grandson,G. I. Gurdjieff,1950,
The Adventures of Tom Sawyer,Mark Twain,1876,"Children's literature, Reference, Fiction, Bildungsroman"
The Emperor's New Clothes,Hans Christian Andersen,,
The Library of Babel,Jorge Luis Borges,1941,
Pebble in the Sky,Isaac Asimov,1950,"Science Fiction, Speculative fiction, Fiction"
Dred: A Tale of the Great Dismal Swamp,Harriet Beecher Stowe,1856,Novel
Raintree County,"Ross Lockridge, Jr.",,Fiction
"Suddenly, Last Summer",Tennessee Williams,,
The Tenant of Wildfell Hall,Anne Brontë,,"Epistolary novel, Novel"
A Canticle for Leibowitz,"Walter M. Miller, Jr.",1960,"Science Fiction, Speculative fiction, Post-holocaust, Apocalyptic and post-apocalyptic fiction"
The Browning Version,Terence Rattigan,,
Ender's Shadow,Orson Scott Card,1999,"Science Fiction, Speculative fiction"
Cards on the Table,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
The Gambler,Fyodor Dostoyevsky,1867,Novel
The Crucible,Arthur Miller,,
The Bell Jar,Sylvia Plath,1963,"Autobiographical novel, Autobiography, Children's literature, Fiction"
Jude the Obscure,Thomas Hardy,1895,
Democracy in America,Alexis de Tocqueville,1935,Non-fiction
The Giver,Lois Lowry,1993,"Science Fiction, Speculative fiction, Social sciences, Young adult literature"
A Solitary Grief,Bernice Rubens,1991-05-06,Fiction
Xenocide,Orson Scott Card,1991,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Sourcery,Terry Pratchett,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
It Can't Happen Here,Sinclair Lewis,,"Science Fiction, Dystopia"
My Brilliant Career,Miles Franklin,,"Roman à clef, Autobiography, Biography, Novel"
The Merry Wives of Windsor,William Shakespeare,,
Fanny Hill,John Cleland,,Fiction
The Restaurant at the End of the Universe,Douglas Adams,1980-01-01,"Science Fiction, Speculative fiction, Fiction, Comic science fiction"
In the Penal Colony,Franz Kafka,1919-10,
The Rebel Angels,Robertson Davies,1981,"Speculative fiction, Fiction, Novel"
Macrolife,George Zebrowski,1979-05,"Science Fiction, Speculative fiction"
Till We Have Faces,C. S. Lewis,1956,"Speculative fiction, Fantasy, Fiction, Parallel novel"
Heidi,Johanna Spyri,1880,Children's literature
That Hideous Strength,C. S. Lewis,1945,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Heart of the Matter,Graham Greene,1948,"Speculative fiction, Fiction"
The Legacy of Heorot,Steven Barnes,1987,"Science Fiction, Speculative fiction, Fantasy, Fiction"
VALIS,Philip K. Dick,1981,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Man Who Awoke,,,Science Fiction
The Genesis Quest,,,Science Fiction
Summer and Smoke,Tennessee Williams,,
Critique of Dialectical Reason,Jean-Paul Sartre,1960,Philosophy
The Necessity of Atheism,,,
The Velveteen Rabbit,Margery Williams,,"Speculative fiction, Children's literature, Fiction"
Executive Orders,Tom Clancy,,"Thriller, Novel, Fiction, Suspense"
My Night with Reg,Kevin Elyot,,
Tell England,Ernest Raymond,,Fiction
The Woman Who Did,Grant Allen,,"Fiction, Romance novel"
Chicago,Fred Ebb,,
Au Bonheur des Dames,Émile Zola,1883,Novel
"Absalom, Absalom!",William Faulkner,1936,
Brideshead Revisited,Evelyn Waugh,1945,Fiction
The Collector,John Fowles,1963,"Thriller, Horror"
King Solomon's Carpet,Ruth Rendell,1991-08-01,"Crime Fiction, Mystery"
Uncle and his Detective,,,
Uncle Cleans Up,,,"Speculative fiction, Children's literature"
Planet of the Apes,Pierre Boulle,1963,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Small House at Allington,Anthony Trollope,1864,"Historical fiction, Fiction, Romance novel"
Framley Parsonage,Anthony Trollope,1861,"Historical fiction, Fiction, Romance novel"
Go Ask Alice,Beatrice Sparks,1971-03-05,
The Three Musketeers,Alexandre Dumas,1844,"Speculative fiction, Fiction, Historical novel"
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,1886-01-05,"Science Fiction, Children's literature, Horror, Speculative fiction"
Shooting an Elephant,George Orwell,1936,
Eminent Victorians,Lytton Strachey,,"Autobiography, Biography, Reference"
The Prime of Miss Jean Brodie,Muriel Spark,1961,Fiction
Death in the Clouds,Agatha Christie,,"Crime Fiction, Mystery, Fiction, Suspense"
The Mysterious Affair at Styles,Agatha Christie,,"Crime Fiction, Mystery, Reference, Fiction"
Sweep,Cate Tiernan,2001-01-29,"Fantasy, Young adult literature, Fiction"
Hypnerotomachia Poliphili,Francesco Colonna,1499,
The Invincible,Stanisław Lem,1964,"Science Fiction, Speculative fiction"
Mrs Dalloway,Virginia Woolf,1925-05-14,"Fiction, Novel"
Principles of Economics,,1871,"Treatise, Non-fiction"
"The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945",Władysław Szpilman,1999,"Autobiography, Non-fiction, Memoir, Personal journal"
Sleeping Murder,Agatha Christie,,"Crime Fiction, Children's literature, Cozy, Mystery"
Battle Royale,Koushun Takami,1999-04,"Thriller, Alternate history, Speculative fiction, Dystopia"
Crooked House,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
Joseph Andrews,Henry Fielding,1742,"Chivalric romance, Historical fiction, Comedy, Fiction"
Cunt,,,
